Date,Open,High,Low,Close,Volume,VWAP
,TCS.BO,TCS.BO,TCS.BO,TCS.BO,TCS.BO,
2020-09-04,2242.0,2323.5,2242.0,2289.75,153313,388.01860919568963
2020-09-07,2288.0,2342.0,2283.0,2327.39990234375,182399,388.14581581465484
2020-09-08,2330.5,2389.5,2326.60009765625,2348.949951171875,251949,388.323452050388
2020-09-09,2325.0,2359.14990234375,2320.0,2323.75,101324,388.3939632179621
2020-09-10,2329.0,2348.89990234375,2324.85009765625,2331.60009765625,79509,388.4495141864041
2020-09-11,2348.0,2382.64990234375,2331.0,2373.699951171875,174945,388.57438070080195
2020-09-14,2377.0,2504.199951171875,2377.0,2492.300048828125,191774,388.7194174456237
2020-09-15,2487.5,2538.0,2459.89990234375,2490.25,437465,389.0498706309582
2020-09-16,2490.0,2507.10009765625,2478.5,2502.64990234375,100286,389.126057193139
2020-09-17,2487.0,2495.0,2452.60009765625,2460.050048828125,83371,389.1881128557248
2020-09-18,2480.0,2501.0,2435.75,2450.75,57975,389.23106949841747
2020-09-21,2460.0,2505.0,2453.60009765625,2464.60009765625,127699,389.32631754834455
2020-09-22,2484.800048828125,2554.0,2458.449951171875,2523.550048828125,264321,389.52904082837483
2020-09-23,2510.0,2517.0,2410.0,2467.14990234375,238132,389.7068191920599
2020-09-24,2450.0,2450.0,2302.5,2331.5,189137,389.83877994975717
2020-09-25,2370.0,2439.800048828125,2350.050048828125,2422.300048828125,236610,390.0115560973963
2020-09-28,2435.0,2442.800048828125,2365.85009765625,2425.35009765625,158816,390.12768345470596
2020-09-29,2439.0,2512.0,2434.0,2487.25,192086,390.27239165384646
2020-09-30,2495.0,2505.050048828125,2459.25,2491.5,438317,390.60319256738575
2020-10-01,2509.800048828125,2539.0,2492.0,2522.75,55334,390.64556718826816
2020-10-05,2610.0,2727.0,2604.0,2706.85009765625,473381,391.03930810786784
2020-10-06,2736.0,2736.0,2649.35009765625,2716.14990234375,330035,391.31484196209306
2020-10-07,2738.0,2769.0,2703.0,2737.39990234375,277896,391.5489164436468
2020-10-08,2825.0,2885.0,2800.0,2824.800048828125,692625,392.1538464600563
2020-10-09,2823.0,2828.75,2781.0,2814.949951171875,186388,392.31592510537445
2020-10-12,2818.89990234375,2853.64990234375,2802.0,2831.199951171875,191337,392.48340059999435
2020-10-13,2845.0,2855.0,2813.25,2825.64990234375,149828,392.6142291772427
2020-10-14,2840.14990234375,2840.14990234375,2788.949951171875,2809.800048828125,86667,392.6894067157093
2020-10-15,2810.10009765625,2827.0,2727.0,2738.699951171875,589029,393.18519829494113
2020-10-16,2751.0,2771.199951171875,2733.449951171875,2762.5,64823,393.24030117550274
2020-10-19,2777.0,2777.0,2706.60009765625,2711.449951171875,90310,393.31541102453684
2020-10-20,2722.0,2760.0,2720.0,2738.39990234375,56441,393.362895619505
2020-10-21,2739.0,2749.60009765625,2663.10009765625,2675.449951171875,109319,393.4523930092967
2020-10-22,2666.800048828125,2687.25,2638.550048828125,2670.800048828125,151372,393.57605431039866
2020-10-23,2684.0,2706.050048828125,2670.550048828125,2686.449951171875,69850,393.63350491810024
2020-10-26,2695.0,2709.800048828125,2671.699951171875,2687.64990234375,72725,393.69334841520185
2020-10-27,2696.85009765625,2717.0,2625.0,2631.449951171875,86794,393.7630151966682
2020-10-28,2653.0,2656.35009765625,2607.199951171875,2621.75,471923,394.14009518090046
2020-10-29,2605.0,2654.449951171875,2601.0,2633.699951171875,86748,394.20976718783794
2020-10-30,2639.0,2673.949951171875,2621.64990234375,2664.85009765625,77960,394.273248253951
2020-11-02,2665.0,2665.0,2600.0,2603.85009765625,106105,394.35732046510907
2020-11-03,2604.699951171875,2664.75,2602.0,2632.64990234375,66138,394.41040464622967
2020-11-04,2625.0,2720.449951171875,2615.0,2653.25,129239,394.5150828022516
2020-11-05,2681.0,2709.75,2667.39990234375,2687.25,114531,394.60923623214524
2020-11-06,2695.0,2713.35009765625,2681.699951171875,2708.25,86947,394.6813629612645
2020-11-09,2738.25,2743.800048828125,2695.050048828125,2725.89990234375,124207,394.7851768426239
2020-11-10,2725.0,2725.0,2640.0,2649.949951171875,182867,394.93302350152084
2020-11-11,2645.300048828125,2691.85009765625,2644.25,2688.550048828125,179045,395.0802388598141
2020-11-12,2687.0,2711.64990234375,2662.550048828125,2670.699951171875,75051,395.1414618455049
2020-11-13,2656.0,2663.949951171875,2636.449951171875,2657.300048828125,436036,395.4949996422119
2020-11-14,2680.0,2680.0,2660.050048828125,2670.699951171875,23415,395.5140938435684
2020-11-17,2685.0,2690.0,2650.35009765625,2666.199951171875,87495,395.58529933419175
2020-11-18,2665.0,2665.0,2608.050048828125,2625.89990234375,139122,395.69650155966497
2020-11-19,2630.0,2678.60009765625,2630.0,2637.050048828125,114908,395.78879998387305
2020-11-20,2655.0,2675.0,2628.25,2659.60009765625,146090,395.9073145222652
2020-11-23,2685.0,2730.0,2666.0,2724.0,129100,396.01501492676607
2020-11-24,2738.0,2743.0,2705.0,2722.10009765625,103065,396.1009185714958
2020-11-25,2727.0,2730.0,2688.39990234375,2700.699951171875,198420,396.264760379103
2020-11-26,2686.64990234375,2729.949951171875,2681.0,2720.85009765625,60434,396.3150943670394
2020-11-27,2700.0,2717.949951171875,2670.0,2679.14990234375,110671,396.40561041961195
2020-12-01,2680.0,2735.0,2625.10009765625,2726.949951171875,90136,396.480869500955
2020-12-02,2720.0,2753.699951171875,2702.25,2749.14990234375,103473,396.56808125852257
2020-12-03,2768.550048828125,2768.800048828125,2702.300048828125,2708.449951171875,392788,396.89335567337645
2020-12-04,2706.0,2738.050048828125,2700.0,2726.0,67094,396.9493299738993
2020-12-07,2719.0,2743.0,2706.300048828125,2736.0,44595,396.9866923491056
2020-12-08,2745.0,2804.85009765625,2733.0,2796.39990234375,97986,397.0709021250422
2020-12-09,2818.0,2840.0,2793.85009765625,2809.800048828125,108846,397.1649605171765
2020-12-10,2820.0,2824.64990234375,2780.14990234375,2784.14990234375,50596,397.2082153362038
2020-12-11,2795.0,2807.0,2765.0,2783.449951171875,55137,397.2553366759567
2020-12-14,2800.10009765625,2806.199951171875,2757.0,2796.5,57915,397.30510083278784
2020-12-15,2790.0,2795.0,2756.0,2761.199951171875,108436,397.39689938457815
2020-12-16,2775.0,2819.75,2761.199951171875,2813.25,71532,397.4587856038541
2020-12-17,2813.949951171875,2849.0,2805.550048828125,2837.89990234375,74645,397.5240205799579
2020-12-18,2861.0,2898.0,2847.0,2862.60009765625,155614,397.6613824656466
2020-12-21,2865.0,2888.550048828125,2782.89990234375,2818.75,181011,397.81830118515273
2020-12-22,2830.0,2883.10009765625,2819.0,2870.800048828125,90096,397.89807704848005
2020-12-23,2889.0,2918.0,2866.050048828125,2907.199951171875,84950,397.97439877328685
2020-12-24,2914.85009765625,2921.949951171875,2884.0,2908.449951171875,63577,398.03154374526224
2020-12-28,2912.85009765625,2949.89990234375,2902.300048828125,2928.25,80008,398.1040208756319
2020-12-29,2928.25,2951.89990234375,2924.199951171875,2930.64990234375,47486,398.14707602329594
2020-12-30,2937.0,2947.0,2904.0,2908.85009765625,175469,398.30479016515585
